,movie_id,title,budget,revenue,release_date,movie_url
165,9260,Welcome to Collinwood,12000000,4606284,5/24/2002,https://www.the-numbers.com//movie/Welcome-to-Collinwood#tab=summary
166,9275,Death to Smoochy,50000000,8374062,3/28/2002,https://www.the-numbers.com//movie/Death-to-Smoochy#tab=summary
167,9282,11:14,6000000,0,5/16/2003,https://www.the-numbers.com//movie/11-14#tab=summary
168,9288,Dungeons & Dragons: Wrath of the Dragon God,15000000,909822,1/1/2005,https://www.the-numbers.com//movie/Dungeons-and-Dragons-2-The-Elemental-Might#tab=summary
169,9302,Up Close & Personal,60000000,100645801,3/1/1996,https://www.the-numbers.com//movie/Up-Close-and-Personal#tab=summary
170,9304,Multiplicity,45000000,20133326,7/19/1996,https://www.the-numbers.com//movie/Multiplicity#tab=summary
171,9311,Smilla's Sense of Snow,35000000,2221994,2/13/1997,https://www.the-numbers.com//movie/Smillas-Sense-of-Snow#tab=summary
172,9313,The Man in the Iron Mask,35000000,56968169,3/12/1998,https://www.the-numbers.com//movie/Man-in-the-Iron-Mask#tab=summary
173,9378,Thir13en Ghosts,,,10/26/2001,
174,9392,The Descent,7000000,57051053,7/8/2005,https://www.the-numbers.com//movie/Descent-The#tab=summary
175,9396,Crocodile Dundee 2,14000000,239606210,5/19/1988,https://www.the-numbers.com/movie/Crocodile-Dundee-2#tab=summary
176,9416,Money Talks,25000000,41076865,8/22/1997,https://www.the-numbers.com//movie/Money-Talks#tab=summary
177,9433,The Edge,,34099255,9/6/1997,https://www.the-numbers.com//movie/Edge-The#tab=summary
178,9434,Grosse Pointe Blank,15000000,31070412,4/11/1997,https://www.the-numbers.com//movie/Grosse-Point-Blank#tab=summary
179,9440,Primary Colors,65000000,39017984,3/20/1998,https://www.the-numbers.com//movie/Primary-Colors#tab=summary
180,9441,Stepmom,50000000,159745279,12/25/1998,https://www.the-numbers.com//movie/Stepmom#tab=summary
181,9449,The Borrowers,29000000,54045832,12/5/1997,https://www.the-numbers.com//movie/Borrowers-The#tab=summary
182,9451,Election,8500000,17202854,4/23/1999,https://www.the-numbers.com//movie/Election#tab=summary
183,9466,Celebrity,12000000,6200000,9/7/1998,https://www.the-numbers.com//movie/Celebrity#tab=summary
184,9473,"South Park: Bigger, Longer & Uncut",21000000,52037603,6/30/1999,https://www.the-numbers.com//movie/South-Park-Bigger-Longer-and-Uncut#tab=summary
185,9513,Garfield: A Tail of Two Kitties,60000000,147985373,6/15/2006,https://www.the-numbers.com//movie/Garfield-A-Tail-of-Two-Kitties#tab=summary
186,9517,Bully,2100000,1381824,6/15/2001,https://www.the-numbers.com//movie/Bully#tab=summary
187,9526,A Prairie Home Companion,10000000,26716191,6/9/2006,https://www.the-numbers.com//movie/Prairie-Home-Companion-A#tab=summary
188,9550,House of Flying Daggers,12000000,92863945,5/19/2004,https://www.the-numbers.com//movie/House-of-Flying-Daggers#tab=summary
189,9555,Rabbit-Proof Fence,7000000,16866928,2/4/2002,https://www.the-numbers.com//movie/Rabbit-Proof-Fence#tab=summary
190,9583,Divine Secrets of the Ya-Ya Sisterhood,27000000,73826768,6/7/2002,https://www.the-numbers.com//movie/Divine-Secrets-of-the-Ya-Ya-Sisterhood-The#tab=summary
191,9587,Little Women,15000000,50003303,12/21/1994,https://www.the-numbers.com//movie/Little-Women-(1994)#tab=summary
192,9588,Quigley Down Under,20000000,21413105,10/17/1990,https://www.the-numbers.com//movie/Quigley-Down-Under#tab=summary
193,9591,That Thing You Do!,2500000,34557416,10/4/1996,https://www.the-numbers.com//movie/That-Thing-You-Do#tab=summary
194,9603,Clueless,13700000,56598476,7/19/1995,https://www.the-numbers.com//movie/Clueless#tab=summary
195,9613,Spider,10000000,1641788,12/13/2002,https://www.the-numbers.com//movie/Spider#tab=summary
196,9623,The Juror,44000000,22730924,2/2/1996,https://www.the-numbers.com//movie/Juror-The#tab=summary
197,9625,The Glimmer Man,45000000,36404841,10/4/1996,https://www.the-numbers.com//movie/Glimmer-Man-The#tab=summary
198,9644,Loaded Weapon 1,13000000,27979399,2/4/1993,https://www.the-numbers.com/movie/Loaded-Weapon-1#tab=summary
199,9647,Scrooged,32000000,59450353,11/22/1988,https://www.the-numbers.com//movie/Scrooged#tab=summary
200,9678,Little Nicky,80000000,58270391,11/10/2000,https://www.the-numbers.com//movie/Little-Nicky#tab=summary
201,9683,Bubble Boy,13000000,5002310,8/24/2001,https://www.the-numbers.com//movie/Bubble-Boy#tab=summary
202,9686,New York Stories,15000000,10763469,3/10/1989,https://www.the-numbers.com//movie/New-York-Stories#tab=summary
203,9689,Hollywood Ending,16000000,14839383,5/3/2002,https://www.the-numbers.com//movie/Hollywood-Ending#tab=summary
204,9702,Bound by Honor,35000000,4496583,2/5/1993,https://www.the-numbers.com//movie/Bound-by-Honor#tab=summary
205,9707,Bubba Ho-tep,1000000,1492895,6/9/2002,https://www.the-numbers.com//movie/Bubba-Ho-Tep#tab=summary
206,9709,My Summer of Love,1700000,4727375,8/20/2004,https://www.the-numbers.com//movie/My-Summer-of-Love#tab=summary
207,9713,Holy Man,60000000,12069719,10/8/1998,https://www.the-numbers.com//movie/Holy-Man#tab=summary
208,9715,Hope Floats,30000000,81529000,5/29/1998,https://www.the-numbers.com//movie/Hope-Floats#tab=summary
209,9716,Everyone Says I Love You,20000000,34600000,12/6/1996,https://www.the-numbers.com//movie/Everyone-Says-I-Love-You#tab=summary
210,9729,Where the Truth Lies,25000000,1415656,10/7/2005,https://www.the-numbers.com//movie/Where-the-Truth-Lies#tab=summary
211,9776,Head of State,35200000,38283765,1/1/2003,https://www.the-numbers.com//movie/Head-of-State#tab=summary
