movie_id,title,language_count
300671,13 Hours: The Secret Soldiers of Benghazi,2
11186,Child's Play 2,2
10885,Shutter,2
225574,Non-Stop,2
301325,#Horror,2
137347,Closer to the Moon,2
301351,We Are Your Friends,2
769,GoodFellas,2
10873,Shadow of the Vampire,2
12690,Appaloosa,2
268,Batman,2
12703,The Brown Bunny,2
136400,2 Guns,2
14165,Ta Ra Rum Pum,2
772,Home Alone 2: Lost in New York,2
1487,Hellboy,2
12657,Soul Plane,2
783,Gandhi,2
293646,The 33,2
157544,The Vatican Tapes,2
331,Jurassic Park III,2
14048,Man on Wire,2
1402,The Pursuit of Happyness,2
1408,Cutthroat Island,2
782,Gattaca,2
11516,Winged Migration,2
222936,Aloha,2
1422,The Departed,2
329,Jurassic Park,2
326,Snakes on a Plane,2
1428,Once Upon a Time in Mexico,2
223485,Slow West,2
12289,Red Cliff,2
319,True Romance,2
14120,End of the Spear,2
295964,Burnt,2
153158,Underdogs,2
1439,Anna and the King,2
314,Catwoman,2
152532,Dallas Buyers Club,2
135595,Trade Of Innocents,2
304357,Woman in Gold,2
134411,Snitch,2
1683,The Reaping,2
14395,Kabhi Alvida Naa Kehna,2
123678,The Act of Killing,2
228203,"McFarland, USA",2
312793,The Walking Deceased,2
1691,Hostel: Part II,2
1696,The Devil's Rejects,2
1698,Anatomy,2
121826,Quartet,2
121676,Inescapable,2
120467,The Grand Budapest Hotel,2
1710,Copycat,2
12771,Serving Sara,2
223,Rebecca,2
316152,Free State of Jones,2
1729,The Forbidden Kingdom,2
228967,The Interview,2
709,Licence to Kill,2
817,Austin Powers: The Spy Who Shagged Me,2
117263,Olympus Has Fallen,2
1735,The Mummy: Tomb of the Dragon Emperor,2
13403,Hedwig and the Angry Inch,2
1777,Fahrenheit 9/11,2
12797,Ghost Town,2
227975,Futuro Beach,2
243,High Fidelity,2
12220,The Story of Us,2
754,Face/Off,2
14317,The Wild Thornberrys Movie,2
14324,Virgin Territory,2
11560,High Crimes,2
1619,The Way of the Gun,2
1621,Trading Places,2
12211,Highlander: Endgame,2
10833,Heartbreakers,2
253,Live and Let Die,2
13483,Awake,2
1639,Speed 2: Cruise Control,2
129670,Nebraska,2
1642,The Net,2
308529,Kickboxer: Vengeance,2
127918,The Gatekeepers,2
534,Terminator Salvation,2
1646,Freedom Writers,2
127493,Stolen,2
248,Pocketful of Miracles,2
14358,Mad Hot Ballroom,2
535,Flashdance,2
1667,March of the Penguins,2
755,From Dusk Till Dawn,2
1669,The Hunt for Red October,2
14043,Nancy Drew,2
291805,Now You See Me 2,2
116613,The Sweeney,2
13809,RockNRolla,2
211954,Instructions Not Included,2
12586,Bella,2
11072,Blazing Saddles,2
274479,Joy,2
192136,Mandela: Long Walk to Freedom,2
13788,The Unborn,2
11066,Boomerang,2
11065,O,2
191714,The Lunchbox,2
191229,Iguana,2
12573,A Serious Man,2
907,Doctor Zhivago,2
1372,Blood Diamond,2
436,Maria Full of Grace,2
503,Poseidon,2
215211,Grace of Monaco,2
924,Dawn of the Dead,2
431,Cube,2
12555,I Served the King of England,2
927,Gremlins,2
