movie_id,title,budget,revenue,release_date,movie_url
11024,Scooby-Doo 2: Monsters Unleashed,25000000,181185387,2004-03-24,https://www.the-numbers.com//movie/Scooby-Doo-2-Monsters-Unleashed#tab=summary
254024,The Face of an Angel,26000000,0,2014-09-06,https://www.the-numbers.com//movie/Face-of-an-Angel-The#tab=summary
11676,Nothing to Lose,25000000,64594061,1997-07-18,https://www.the-numbers.com//movie/Nothing-To-Lose#tab=summary
9416,Money Talks,25000000,41076865,1997-08-22,https://www.the-numbers.com//movie/Money-Talks#tab=summary
14317,The Wild Thornberrys Movie,25000000,60694737,2002-12-20,https://www.the-numbers.com//movie/Wild-Thornberrys-Movie-The#tab=summary
20694,Rugrats Go Wild,25000000,55443032,2003-06-13,https://www.the-numbers.com//movie/Rugrats-Go-Wild#tab=summary
10735,What a Girl Wants,25000000,35990505,2003-03-27,https://www.the-numbers.com//movie/What-a-Girl-Wants#tab=summary
21724,Dance Flick,25000000,32092761,2009-05-22,https://www.the-numbers.com//movie/Dance-Flick#tab=summary
10167,Half Past Dead,25000000,19233280,2002-11-15,https://www.the-numbers.com//movie/Half-Past-Dead#tab=summary
18147,Unaccompanied Minors,25000000,21970831,2006-12-08,https://www.the-numbers.com//movie/Unaccompanied-Minors#tab=summary
17170,"Bright Lights, Big City",25000000,16118077,1988-04-01,https://www.the-numbers.com//movie/Bright-Lights-Big-City#tab=summary
18975,The Adventures of Pinocchio,25000000,36682170,1996-07-26,https://www.the-numbers.com//movie/Adventures-of-Pinocchio-The#tab=summary
11152,The Ruins,25000000,22910563,2008-04-02,https://www.the-numbers.com//movie/Ruins-The#tab=summary
12770,Stealing Harvard,25000000,13973532,2002-09-13,https://www.the-numbers.com//movie/Stealing-Harvard#tab=summary
10074,Hot Rod,25000000,14334401,2007-08-03,https://www.the-numbers.com//movie/Hot-Rod#tab=summary
10397,Angela's Ashes,25000000,13038660,1999-12-25,https://www.the-numbers.com//movie/Angelas-Ashes#tab=summary
11954,Lifeforce,25000000,11603545,1985-06-20,https://www.the-numbers.com//movie/Lifeforce#tab=summary
10655,Gettysburg,25000000,10731997,1993-10-08,https://www.the-numbers.com//movie/Gettysburg#tab=summary
21338,Stone Cold,25000000,9286314,1991-05-17,https://www.the-numbers.com//movie/Stone-Cold#tab=summary
19803,Underclassman,25000000,5654777,2005-09-02,https://www.the-numbers.com//movie/Underclassman#tab=summary
20309,Say It Isn't So,25000000,5516708,2001-03-12,https://www.the-numbers.com//movie/Say-It-Isn-t-So#tab=summary
9912,The World's Fastest Indian,25000000,18991288,2005-10-12,https://www.the-numbers.com//movie/Worlds-Fastest-Indian-The#tab=summary
27360,King's Ransom,25000000,4049527,2005-04-22,https://www.the-numbers.com//movie/Kings-Ransom#tab=summary
9729,Where the Truth Lies,25000000,1415656,2005-10-07,https://www.the-numbers.com//movie/Where-the-Truth-Lies#tab=summary
94352,Cirque du Soleil: Worlds Away,25000000,28012862,2012-11-09,https://www.the-numbers.com//movie/Cirque-du-Soleil-Worlds-Away#tab=summary
39845,Love Ranch,25000000,146149,2010-06-30,https://www.the-numbers.com//movie/Love-Ranch#tab=summary
